,emoji,src_meanings,clean_meanings
0,😀,"[""Grinning Face"", ""Happy Face"", ""Smiley Face""]","[""grinning face"", ""happy face"", ""smiley face""]"
1,😃,"[""Grinning Face with Big Eyes"", ""Grinning Face"", ""Happy"", ""Happy Face"", ""Smiley Face""]","[""grinning big eyes"", ""grinning face"", ""happy"", ""happy face"", ""smiley face""]"
2,😄,"[""Grinning Face with Smiling Eyes"", ""Grinning Face"", ""Happy Face"", ""Smiley Face""]","[""grinning smiling eyes"", ""grinning face"", ""happy face"", ""smiley face""]"
3,😁,"[""Beaming Face with Smiling Eyes""]","[""beaming smiling eyes""]"
4,😆,"[""Grinning Squinting Face"", ""><"", ""Big Grin"", ""Closed-Eyes Smile"", ""Laughing"", ""XD""]","[""grinning squinting face"", ""><"", ""big grin"", ""closed-eyes smile"", ""laughing"", ""xd""]"
5,😅,"[""Grinning Face with Sweat"", ""Exercise"", ""Happy Sweat""]","[""grinning sweat"", ""exercise"", ""happy sweat""]"
6,🤣,"[""Rolling on the Floor Laughing"", ""ROFL""]","[""rolling on the floor laughing"", ""rofl""]"
7,😂,"[""Face with Tears of Joy"", ""Laughing"", ""Laughing Crying"", ""Laughing Tears"", ""LOL""]","[""tears of joy"", ""laughing"", ""laughing crying"", ""laughing tears"", ""lol""]"
8,🙂,"[""Slightly Smiling Face"", ""Slightly Happy"", ""This Is Fine""]","[""slightly smiling face"", ""slightly happy"", ""this is fine""]"
9,🙃,"[""Upside-Down Face"", ""Sarcasm"", ""Silly""]","[""upside-down face"", ""sarcasm"", ""silly""]"
10,😉,"[""Winking Face"", ""Wink"", ""Wink Face"", ""Winky Face""]","[""winking face"", ""wink"", ""wink face"", ""winky face""]"
11,😊,"[""Smiling Face with Smiling Eyes"", ""^^"", ""Happy Face"", ""Smile"", ""Smiley Face""]","[""smiling smiling eyes"", ""^^"", ""happy face"", ""smile"", ""smiley face""]"
12,😇,"[""Smiling Face with Halo"", ""Angel"", ""Halo""]","[""smiling halo"", ""angel"", ""halo""]"
13,🥰,"[""Smiling Face with Hearts"", ""In Love Face""]","[""smiling hearts"", ""in love face""]"
14,😍,"[""Smiling Face with Heart-Eyes"", ""Heart Eyes"", ""Heart Face""]","[""smiling heart-eyes"", ""heart eyes"", ""heart face""]"
15,🤩,"[""Star-Struck"", ""Excited"", ""Star Eyes"", ""Starry Eyed"", ""Wow Face""]","[""star-struck"", ""excited"", ""star eyes"", ""starry eyed"", ""wow face""]"
16,😘,"[""Face Blowing a Kiss"", ""Blow A Kiss"", ""Blowing Kiss"", ""Kissing""]","[""face blowing a kiss"", ""blow a kiss"", ""blowing kiss"", ""kissing""]"
17,😗,"[""Kissing Face"", "":-*"", ""Duck Face"", ""Kissy Face"", ""Whistling""]","[""kissing face"", "":-*"", ""duck face"", ""kissy face"", ""whistling""]"
18,☺️,"[""Smiling Face"", ""Happy Face"", ""Smiley Face"", ""Smiling""]","[""smiling face"", ""happy face"", ""smiley face"", ""smiling""]"
19,☺,"[""Smiling Face"", ""Happy Face"", ""Smiley Face"", ""Smiling""]","[""smiling face"", ""happy face"", ""smiley face"", ""smiling""]"
20,😚,"[""Kissing Face with Closed Eyes"", ""Kiss Face"", ""Kissy Face""]","[""kissing closed eyes"", ""kiss face"", ""kissy face""]"
21,😙,"[""Kissing Face with Smiling Eyes"", ""Kiss Face"", ""Kissy"", ""Whistle"", ""Whistling""]","[""kissing smiling eyes"", ""kiss face"", ""kissy"", ""whistle"", ""whistling""]"
22,🥲,"[""Smiling Face with Tear""]","[""smiling tear""]"
23,😋,"[""Face Savoring Food"", ""Goofy"", ""Hungry""]","[""face savoring food"", ""goofy"", ""hungry""]"
24,😛,"[""Face with Tongue"", ""Cheeky"", ""Tongue Face"", ""Tongue-Out""]","[""tongue"", ""cheeky"", ""tongue face"", ""tongue-out""]"
25,😜,"[""Winking Face with Tongue"", ""Crazy"", ""Crazy Face""]","[""winking tongue"", ""crazy"", ""crazy face""]"
26,🤪,"[""Zany Face"", ""Crazy Eyes"", ""Excited"", ""Wild""]","[""zany face"", ""crazy eyes"", ""excited"", ""wild""]"
27,😝,"[""Squinting Face with Tongue"", ""Tongue Out""]","[""squinting tongue"", ""tongue out""]"
28,🤑,"[""Money-Mouth Face"", ""Dollar Sign Eyes"", ""Money Face"", ""Rich""]","[""money-mouth face"", ""dollar sign eyes"", ""money face"", ""rich""]"
29,🤗,"[""Smiling Face with Open Hands"", ""Hug"", ""Hugging"", ""Hugs""]","[""smiling open hands"", ""hug"", ""hugging"", ""hugs""]"
30,🤭,"[""Face with Hand Over Mouth""]","[""hand over mouth""]"
31,🤫,"[""Shushing Face"", ""Hush"", ""Quiet"", ""Shh""]","[""shushing face"", ""hush"", ""quiet"", ""shh""]"
32,🤔,"[""Thinking Face"", ""Chin Thumb"", ""Thinker"", ""Throwing Shade""]","[""thinking face"", ""chin thumb"", ""thinker"", ""throwing shade""]"
33,🤐,"[""Zipper-Mouth Face"", ""Lips Sealed"", ""Sealed Lips"", ""Zip It""]","[""zipper-mouth face"", ""lips sealed"", ""sealed lips"", ""zip it""]"
34,🤨,"[""Face with Raised Eyebrow"", ""Colbert"", ""The Rock""]","[""raised eyebrow"", ""colbert"", ""the rock""]"
35,😐,"[""Neutral Face"", ""Face With Straight Mouth"", ""Straight Faced""]","[""neutral face"", ""straight mouth"", ""straight faced""]"
36,😑,"[""Expressionless Face"", ""Face With Straight Mouth"", ""Straight Face""]","[""expressionless face"", ""straight mouth"", ""straight face""]"
37,😶,"[""Face Without Mouth"", ""Blank Face"", ""Mouthless"", ""Silence"", ""Silent""]","[""face without mouth"", ""blank face"", ""mouthless"", ""silence"", ""silent""]"
38,😶‍🌫️,"[""Face in Clouds"", ""Brain Fog"", ""Forgetful"", ""Haze""]","[""face in clouds"", ""brain fog"", ""forgetful"", ""haze""]"
39,😶‍🌫,"[""Face in Clouds"", ""Brain Fog"", ""Forgetful"", ""Haze""]","[""face in clouds"", ""brain fog"", ""forgetful"", ""haze""]"
40,😏,"[""Smirking Face"", ""Flirting"", ""Sexual Face"", ""Smug Face"", ""Suggestive Smile""]","[""smirking face"", ""flirting"", ""sexual face"", ""smug face"", ""suggestive smile""]"
41,😒,"[""Unamused Face"", ""Dissatisfied"", ""Meh"", ""Side-Eye"", ""Unimpressed""]","[""unamused face"", ""dissatisfied"", ""meh"", ""side-eye"", ""unimpressed""]"
42,🙄,"[""Face with Rolling Eyes"", ""Eye Roll""]","[""rolling eyes"", ""eye roll""]"
43,😬,"[""Grimacing Face"", ""Awkward"", ""Eek"", ""Foot In Mouth"", ""Nervous"", ""Snapchat Mutual #1\u00a0Best Friend""]","[""grimacing face"", ""awkward"", ""eek"", ""foot in mouth"", ""nervous"", ""snapchat mutual #1 best friend""]"
44,😮‍💨,"[""Face Exhaling"", ""Sigh""]","[""face exhaling"", ""sigh""]"
45,🤥,"[""Lying Face"", ""Liar"", ""Long Nose"", ""Pinocchio""]","[""lying face"", ""liar"", ""long nose"", ""pinocchio""]"
46,😌,"[""Relieved Face"", ""Content"", ""Pleased""]","[""relieved face"", ""content"", ""pleased""]"
47,😔,"[""Pensive Face"", ""Pensive"", ""Sad"", ""Sadface"", ""Sorrowful""]","[""pensive face"", ""pensive"", ""sad"", ""sadface"", ""sorrowful""]"
48,😪,"[""Sleepy Face"", ""Side-Tear"", ""Snot Bubble""]","[""sleepy face"", ""side-tear"", ""snot bubble""]"
49,🤤,"[""Drooling Face"", ""Drool""]","[""drooling face"", ""drool""]"
50,😴,"[""Sleeping Face"", ""Sleep Face"", ""Snoring"", ""Zzz Face""]","[""sleeping face"", ""sleep face"", ""snoring"", ""zzz face""]"
51,😷,"[""Face with Medical Mask"", ""Coronavirus"", ""COVID-19"", ""Mask Face"", ""Surgical Mask""]","[""medical mask"", ""coronavirus"", ""covid-19"", ""mask face"", ""surgical mask""]"
52,🤒,"[""Face with Thermometer"", ""Ill"", ""Sick""]","[""thermometer"", ""ill"", ""sick""]"
53,🤕,"[""Face with Head-Bandage"", ""Bandaged Head"", ""Clumsy"", ""Injured""]","[""head-bandage"", ""bandaged head"", ""clumsy"", ""injured""]"
54,🤢,"[""Nauseated Face"", ""Disgust"", ""Green\u00a0Face"", ""Vomit""]","[""nauseated face"", ""disgust"", ""green face"", ""vomit""]"
55,🤮,"[""Face Vomiting"", ""Spew"", ""Throwing Up"", ""Vomit""]","[""face vomiting"", ""spew"", ""throwing up"", ""vomit""]"
56,🤧,"[""Sneezing Face"", ""Gesundheit""]","[""sneezing face"", ""gesundheit""]"
57,🥵,"[""Hot Face""]","[""hot face""]"
58,🥶,"[""Cold Face""]","[""cold face""]"
59,🥴,"[""Woozy Face"", ""Drunk Face""]","[""woozy face"", ""drunk face""]"
60,😵,"[""Face with Crossed-Out Eyes"", ""Cross Eyes Face"", ""Spiral\u00a0Eyes Face""]","[""crossed-out eyes"", ""cross eyes face"", ""spiral eyes face""]"
61,😵‍💫,"[""Face with Spiral Eyes"", ""Dizzy Face""]","[""spiral eyes"", ""dizzy face""]"
62,🤯,"[""Exploding Head"", ""Mind Blown""]","[""exploding head"", ""mind blown""]"
63,🤠,"[""Cowboy Hat Face"", ""Cowboy""]","[""cowboy hat face"", ""cowboy""]"
64,🥳,"[""Partying Face""]","[""partying face""]"
65,🥸,"[""Disguised Face""]","[""disguised face""]"
66,😎,"[""Smiling Face with Sunglasses"", ""Cool"", ""Mutual Best Friends (Snapchat)"", ""Sunglasses""]","[""smiling sunglasses"", ""cool"", ""mutual best friends (snapchat)"", ""sunglasses""]"
67,🤓,"[""Nerd Face"", ""Nerdy""]","[""nerd face"", ""nerdy""]"
68,🧐,"[""Face with Monocle""]","[""monocle""]"
69,😕,"[""Confused Face"", ""Nonplussed"", ""Puzzled"", "":S""]","[""confused face"", ""nonplussed"", ""puzzled"", "":s""]"
70,😟,"[""Worried Face"", ""Sad"", ""Sadface""]","[""worried face"", ""sad"", ""sadface""]"
71,🙁,"[""Slightly Frowning Face"", ""Slightly Sad""]","[""slightly frowning face"", ""slightly sad""]"
72,☹️,"[""Frowning Face"", ""Megafrown""]","[""frowning face"", ""megafrown""]"
73,☹,"[""Frowning Face"", ""Megafrown""]","[""frowning face"", ""megafrown""]"
74,😮,"[""Face with Open Mouth"", ""Open Mouth"", ""Surprised""]","[""open mouth"", ""open mouth"", ""surprised""]"
75,😯,"[""Hushed Face"", ""Surprise"", ""Surprised Face""]","[""hushed face"", ""surprise"", ""surprised face""]"
