,emoji,keywords
0,😀,"{""grinning"": 7, ""smiley"": 8, ""happy"": 13, ""face"": 119}"
1,😃,"{""smiley"": 8, ""big"": 4, ""eyes"": 19, ""happy"": 13, ""grinning"": 7, ""face"": 119}"
2,😄,"{""smiley"": 8, ""eyes"": 19, ""happy"": 13, ""grinning"": 7, ""face"": 119, ""smiling"": 20}"
3,😁,"{""eyes"": 19, ""face"": 119, ""beaming"": 1, ""smiling"": 20}"
4,😆,"{""squinting"": 2, ""laughing"": 4, ""closed-eyes"": 1, ""big"": 4, ""<"": 1, ""face"": 119, ""grinning"": 7, "">"": 1, ""smile"": 4, ""xd"": 1, ""grin"": 1}"
5,😅,"{""exercise"": 1, ""happy"": 13, ""grinning"": 7, ""face"": 119, ""sweat"": 5}"
6,🤣,"{""laughing"": 4, ""rolling"": 2, ""rofl"": 1, ""the"": 12, ""floor"": 1}"
7,😂,"{""laughing"": 4, ""joy"": 2, ""lol"": 1, ""tears"": 3, ""face"": 119, ""crying"": 4}"
8,🙂,"{""fine"": 1, ""slightly"": 2, ""happy"": 13, ""face"": 119, ""is"": 1, ""this"": 1, ""smiling"": 20}"
9,🙃,"{""face"": 119, ""sarcasm"": 1, ""silly"": 1, ""upside-down"": 1}"
10,😉,"{""wink"": 1, ""winky"": 1, ""winking"": 2, ""face"": 119}"
11,😊,"{""smiley"": 8, ""eyes"": 19, ""happy"": 13, ""face"": 119, ""^^"": 1, ""smiling"": 20, ""smile"": 4}"
12,😇,"{""face"": 119, ""smiling"": 20, ""halo"": 1, ""angel"": 7}"
13,🥰,"{""love"": 6, ""face"": 119, ""hearts"": 5, ""smiling"": 20}"
14,😍,"{""eyes"": 19, ""face"": 119, ""heart-eyes"": 2, ""smiling"": 20, ""heart"": 234}"
15,🤩,"{""eyed"": 1, ""star"": 15, ""excited"": 2, ""starry"": 2, ""eyes"": 19, ""wow"": 1, ""face"": 119, ""star-struck"": 1}"
16,😘,"{""kiss"": 206, ""kissing"": 8, ""face"": 119, ""blowing"": 3}"
17,😗,"{""kissing"": 8, ""face"": 119, ""*"": 1, ""whistling"": 2, ""duck"": 2, ""kissy"": 3}"
18,☺️,"{""smiley"": 8, ""smiling"": 20, ""face"": 119, ""happy"": 13}"
19,☺,"{""smiley"": 8, ""smiling"": 20, ""face"": 119, ""happy"": 13}"
20,😚,"{""kiss"": 206, ""eyes"": 19, ""kissing"": 8, ""face"": 119, ""kissy"": 3, ""closed"": 6}"
21,😙,"{""kiss"": 206, ""eyes"": 19, ""kissing"": 8, ""face"": 119, ""whistle"": 1, ""whistling"": 2, ""smiling"": 20, ""kissy"": 3}"
22,🥲,"{""smiling"": 20, ""face"": 119, ""tear"": 2}"
23,😋,"{""food"": 6, ""face"": 119, ""goofy"": 1, ""savoring"": 1, ""hungry"": 1}"
24,😛,"{""tongue-out"": 1, ""face"": 119, ""cheeky"": 2, ""tongue"": 4}"
25,😜,"{""winking"": 2, ""face"": 119, ""crazy"": 2, ""tongue"": 4}"
26,🤪,"{""zany"": 1, ""excited"": 2, ""eyes"": 19, ""face"": 119, ""wild"": 4, ""crazy"": 2}"
27,😝,"{""squinting"": 2, ""face"": 119, ""tongue"": 4}"
28,🤑,"{""money-mouth"": 1, ""eyes"": 19, ""face"": 119, ""rich"": 2, ""dollar"": 3, ""sign"": 26, ""money"": 3}"
29,🤗,"{""hugging"": 2, ""hugs"": 1, ""hug"": 2, ""hands"": 131, ""face"": 119, ""open"": 15, ""smiling"": 20}"
30,🤭,"{""face"": 119, ""over"": 1, ""mouth"": 11, ""hand"": 119}"
31,🤫,"{""shh"": 1, ""face"": 119, ""shushing"": 1, ""hush"": 1, ""quiet"": 1}"
32,🤔,"{""chin"": 1, ""thumb"": 2, ""face"": 119, ""shade"": 1, ""thinking"": 2, ""throwing"": 2, ""thinker"": 1}"
33,🤐,"{""lips"": 3, ""face"": 119, ""sealed"": 1, ""zip"": 1, ""it"": 3, ""zipper-mouth"": 1}"
34,🤨,"{""colbert"": 1, ""eyebrow"": 2, ""face"": 119, ""rock"": 9, ""the"": 12, ""raised"": 21}"
35,😐,"{""face"": 119, ""mouth"": 11, ""faced"": 1, ""straight"": 4, ""neutral"": 8}"
36,😑,"{""expressionless"": 1, ""face"": 119, ""mouth"": 11, ""straight"": 4}"
37,😶,"{""silence"": 1, ""blank"": 2, ""face"": 119, ""mouth"": 11, ""silent"": 2, ""mouthless"": 1}"
38,😶‍🌫️,"{""face"": 119, ""haze"": 2, ""clouds"": 2, ""fog"": 5, ""forgetful"": 2, ""brain"": 3}"
39,😶‍🌫,"{""face"": 119, ""haze"": 2, ""clouds"": 2, ""fog"": 5, ""forgetful"": 2, ""brain"": 3}"
40,😏,"{""flirting"": 1, ""face"": 119, ""sexual"": 1, ""suggestive"": 1, ""smug"": 1, ""smirking"": 2, ""smile"": 4}"
41,😒,"{""dissatisfied"": 1, ""unamused"": 1, ""face"": 119, ""meh"": 1, ""unimpressed"": 1, ""side-eye"": 1}"
42,🙄,"{""eye"": 11, ""rolling"": 2, ""roll"": 2, ""eyes"": 19, ""face"": 119}"
43,😬,"{""awkward"": 1, ""nervous"": 2, ""friend"": 1, ""foot"": 8, ""face"": 119, ""grimacing"": 1, ""1"": 4, ""mouth"": 11, ""mutual"": 2, ""best"": 2, ""snapchat"": 3, ""eek"": 1}"
44,😮‍💨,"{""exhaling"": 1, ""face"": 119, ""sigh"": 1}"
45,🤥,"{""lying"": 1, ""pinocchio"": 1, ""long"": 3, ""nose"": 10, ""face"": 119, ""liar"": 1}"
46,😌,"{""face"": 119, ""relieved"": 2, ""pleased"": 1, ""content"": 1}"
47,😔,"{""pensive"": 1, ""sad"": 10, ""face"": 119, ""sadface"": 3, ""sorrowful"": 1}"
48,😪,"{""bubble"": 13, ""face"": 119, ""snot"": 1, ""sleepy"": 1, ""side-tear"": 1}"
49,🤤,"{""drooling"": 1, ""face"": 119, ""drool"": 1}"
50,😴,"{""snoring"": 1, ""face"": 119, ""sleep"": 2, ""zzz"": 2, ""sleeping"": 1}"
51,😷,"{""covid-19"": 2, ""surgical"": 1, ""face"": 119, ""medical"": 4, ""coronavirus"": 2, ""mask"": 4}"
52,🤒,"{""thermometer"": 3, ""sick"": 1, ""face"": 119, ""ill"": 1}"
53,🤕,"{""head-bandage"": 1, ""clumsy"": 1, ""bandaged"": 3, ""face"": 119, ""injured"": 1, ""head"": 12}"
54,🤢,"{""green"": 14, ""face"": 119, ""vomit"": 2, ""disgust"": 1, ""nauseated"": 1}"
