,emoji,keywords_ru
0,😀,"{""шлифование"": 7, ""улыбка"": 8, ""счастливый"": 13, ""лицо"": 119}"
1,😃,"{""улыбка"": 8, ""большой"": 4, ""глаза"": 19, ""счастливый"": 13, ""шлифование"": 7, ""лицо"": 119}"
2,😄,"{""улыбка"": 20, ""глаза"": 19, ""счастливый"": 13, ""шлифование"": 7, ""лицо"": 119}"
3,😁,"{""глаза"": 19, ""лицо"": 119, ""луч"": 1, ""улыбка"": 20}"
4,😆,"{""пайет"": 2, ""смеяться"": 4, ""закрытые глаза"": 1, ""большой"": 4, ""<"": 1, ""лицо"": 119, ""шлифование"": 7, "">"": 1, ""улыбка"": 4, ""хд"": 1, ""Грена"": 1}"
5,😅,"{""упражнения"": 1, ""счастливый"": 13, ""шлифование"": 7, ""лицо"": 119, ""Пот"": 5}"
6,🤣,"{""смеяться"": 4, ""прокат"": 2, ""Рофл"": 1, ""и"": 12, ""этаж"": 1}"
7,😂,"{""смеяться"": 4, ""радость"": 2, ""Лол"": 1, ""слезы"": 3, ""лицо"": 119, ""плач"": 4}"
8,🙂,"{""штраф"": 1, ""немного"": 2, ""счастливый"": 13, ""лицо"": 119, ""это"": 1, ""улыбка"": 20}"
9,🙃,"{""лицо"": 119, ""сарказм"": 1, ""силли"": 1, ""вверх-вниз"": 1}"
10,😉,"{""победа"": 1, ""победить"": 2, ""лицо"": 119}"
11,😊,"{""улыбка"": 4, ""глаза"": 19, ""счастливый"": 13, ""лицо"": 119, ""^^"": 1}"
12,😇,"{""лицо"": 119, ""улыбка"": 20, ""гало"": 1, ""ангел"": 7}"
13,🥰,"{""любовь"": 6, ""лицо"": 119, ""сердца"": 5, ""улыбка"": 20}"
14,😍,"{""глаза"": 19, ""лицо"": 119, ""сердечные глаза"": 2, ""улыбка"": 20, ""сердце"": 234}"
15,🤩,"{""глаза"": 19, ""звезда"": 2, ""взволнованы"": 2, ""Вау"": 1, ""лицо"": 119, ""звезда-струк"": 1}"
16,😘,"{""поцелуй"": 206, ""поцелуи"": 8, ""лицо"": 119, ""удар"": 3}"
17,😗,"{""поцелуи"": 8, ""лицо"": 119, ""*"": 1, ""свисание"": 2, ""утка"": 2, ""поцелуй"": 3}"
18,☺️,"{""улыбка"": 20, ""лицо"": 119, ""счастливый"": 13}"
19,☺,"{""улыбка"": 20, ""лицо"": 119, ""счастливый"": 13}"
20,😚,"{""поцелуй"": 3, ""глаза"": 19, ""поцелуи"": 8, ""лицо"": 119, ""закрыто"": 6}"
21,😙,"{""поцелуй"": 3, ""глаза"": 19, ""поцелуи"": 8, ""лицо"": 119, ""виски"": 1, ""свисание"": 2, ""улыбка"": 20}"
22,🥲,"{""улыбка"": 20, ""лицо"": 119, ""слеза"": 2}"
23,😋,"{""еда"": 6, ""лицо"": 119, ""Гоофи"": 1, ""священие"": 1, ""голодный"": 1}"
24,😛,"{""Язык-выход"": 1, ""лицо"": 119, ""Чик"": 2, ""язык"": 4}"
25,😜,"{""победить"": 2, ""лицо"": 119, ""сумасшедший"": 2, ""язык"": 4}"
26,🤪,"{""Зани"": 1, ""взволнованы"": 2, ""глаза"": 19, ""лицо"": 119, ""дикая"": 4, ""сумасшедший"": 2}"
27,😝,"{""пайет"": 2, ""лицо"": 119, ""язык"": 4}"
