,emoji,synsets,synsets_names
0,😀,"[""112039-N"", ""117550-N"", ""3037-N"", ""119891-A"", ""110629-N"", ""2149-N"", ""123943-N"", ""107733-N""]","[""УЛЫБКА"", ""ШЛИФОВАТЬ (УЛУЧШИТЬ)"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""СЧАСТЛИВЫЙ (ПОЛНЫЙ СЧАСТЬЯ)"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА""]"
1,😃,"[""112039-N"", ""3037-N"", ""119891-A"", ""110629-N"", ""117891-A"", ""106917-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""114019-A"", ""117550-N""]","[""УЛЫБКА"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""СЧАСТЛИВЫЙ (ПОЛНЫЙ СЧАСТЬЯ)"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""БОЛЬШОЙ, МНОГОЧИСЛЕННЫЙ"", ""ГЛАЗ"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""БОЛЬШОЙ, ЗНАЧИТЕЛЬНЫЙ"", ""ШЛИФОВАТЬ (УЛУЧШИТЬ)""]"
2,😄,"[""112039-N"", ""3037-N"", ""119891-A"", ""110629-N"", ""106917-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""117550-N""]","[""УЛЫБКА"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""СЧАСТЛИВЫЙ (ПОЛНЫЙ СЧАСТЬЯ)"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ГЛАЗ"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ШЛИФОВАТЬ (УЛУЧШИТЬ)""]"
3,😁,"[""112039-N"", ""110629-N"", ""2149-N"", ""106917-N"", ""123943-N"", ""107733-N"", ""114632-N""]","[""УЛЫБКА"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ГЛАЗ"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ЛУЧ ЧАСТИЦ, ЭНЕРГИИ""]"
4,😆,"[""112039-N"", ""3037-N"", ""110629-N"", ""117891-A"", ""2149-N"", ""123943-N"", ""107733-N"", ""114089-V"", ""114019-A"", ""117550-N"", ""337-N"", ""115256-V"", ""116285-V""]","[""УЛЫБКА"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""БОЛЬШОЙ, МНОГОЧИСЛЕННЫЙ"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""СМЕЯТЬСЯ (ИЗДАВАТЬ СМЕХ)"", ""БОЛЬШОЙ, ЗНАЧИТЕЛЬНЫЙ"", ""ШЛИФОВАТЬ (УЛУЧШИТЬ)"", ""ШЕЛКОПРЯД"", ""ШУТИТЬ, ОТПУСКАТЬ ШУТКИ"", ""НАСМЕХАТЬСЯ""]"
5,😅,"[""118368-N"", ""3037-N"", ""119891-A"", ""110629-N"", ""131150-N"", ""110872-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""117550-N""]","[""УПРАЖНЯТЬ, УПРАЖНЯТЬСЯ"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""СЧАСТЛИВЫЙ (ПОЛНЫЙ СЧАСТЬЯ)"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""УПРАЖНЕНИЕ, ЗАДАНИЕ ДЛЯ УПРАЖНЕНИЯ"", ""ПОТ (ВЫДЕЛЕНИЕ)"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ШЛИФОВАТЬ (УЛУЧШИТЬ)""]"
6,🤣,"[""2698-N"", ""3870-N"", ""3823-N"", ""114089-V"", ""115256-V"", ""116285-V"", ""3334-N"", ""107228-N""]","[""ПРОКАТНОЕ ПРОИЗВОДСТВО"", ""ПРОКАТНАЯ ПРОДУКЦИЯ"", ""КИНОПРОКАТ"", ""СМЕЯТЬСЯ (ИЗДАВАТЬ СМЕХ)"", ""ШУТИТЬ, ОТПУСКАТЬ ШУТКИ"", ""НАСМЕХАТЬСЯ"", ""ПРОКАТ ИМУЩЕСТВА"", ""ЭТАЖ""]"
7,😂,"[""106657-N"", ""107196-N"", ""110629-N"", ""142062-N"", ""2149-N"", ""107195-N"", ""123943-N"", ""111674-N"", ""114089-V"", ""107733-N"", ""115256-V"", ""116285-V""]","[""ЧУВСТВО РАДОСТИ"", ""ПЛАКАТЬ, ПРОЛИВАТЬ СЛЕЗЫ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ОБРЯДОВОЕ ПРИЧИТАНИЕ"", ""ЧЕЛОВЕК"", ""ПЛАЧ (ЗВУК)"", ""ЛИЦЕВАЯ СТОРОНА"", ""СЛЕЗА, СЛЕЗНАЯ ЖИДКОСТЬ"", ""СМЕЯТЬСЯ (ИЗДАВАТЬ СМЕХ)"", ""ЛИЦО ЧЕЛОВЕКА"", ""ШУТИТЬ, ОТПУСКАТЬ ШУТКИ"", ""НАСМЕХАТЬСЯ""]"
8,🙂,"[""112039-N"", ""150492-N"", ""1524-N"", ""119891-A"", ""110629-N"", ""2149-N"", ""123943-N"", ""107733-N""]","[""УЛЫБКА"", ""ШТРАФ В ИГРЕ, СОРЕВНОВАНИИ"", ""ДЕНЕЖНЫЙ ШТРАФ"", ""СЧАСТЛИВЫЙ (ПОЛНЫЙ СЧАСТЬЯ)"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА""]"
9,🙃,"[""110629-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""118788-N""]","[""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""САРКАСТИЧЕСКИЙ""]"
