,emoji,meanings,words,poses
0,😀,"[""Grinning Face"", ""Happy Face"", ""Smiley Face""]","[""smiley"", ""face"", ""grinning"", ""happy""]","{""grinning"": ""VERB"", ""face"": ""NOUN"", ""happy"": ""ADJ"", ""smiley"": ""NOUN""}"
1,😃,"[""Grinning Face with Big Eyes"", ""Grinning Face"", ""Happy"", ""Happy Face"", ""Smiley Face""]","[""smiley"", ""face"", ""big"", ""grinning"", ""happy"", ""with"", ""eyes""]","{""grinning"": ""VERB"", ""face"": ""NOUN"", ""with"": ""ADP"", ""big"": ""ADJ"", ""eyes"": ""NOUN"", ""happy"": ""ADJ"", ""smiley"": ""NOUN""}"
2,😄,"[""Grinning Face with Smiling Eyes"", ""Grinning Face"", ""Happy Face"", ""Smiley Face""]","[""smiley"", ""face"", ""smiling"", ""grinning"", ""happy"", ""with"", ""eyes""]","{""grinning"": ""VERB"", ""face"": ""NOUN"", ""with"": ""ADP"", ""smiling"": ""VERB"", ""eyes"": ""NOUN"", ""happy"": ""ADJ"", ""smiley"": ""NOUN""}"
3,😁,"[""Beaming Face with Smiling Eyes""]","[""face"", ""smiling"", ""beaming"", ""with"", ""eyes""]","{""beaming"": ""VERB"", ""face"": ""NOUN"", ""with"": ""ADP"", ""smiling"": ""VERB"", ""eyes"": ""NOUN""}"
4,😆,"[""Grinning Squinting Face"", ""><"", ""Big Grin"", ""Closed-Eyes Smile"", ""Laughing"", ""XD""]","[""xd"", ""big"", ""squinting"", ""grin"", "">"", ""<"", ""face"", ""grinning"", ""closed-eyes"", ""smile"", ""laughing""]","{""grinning"": ""VERB"", ""squinting"": ""VERB"", ""face"": ""NOUN"", "">"": ""NOUN"", ""<"": ""NOUN"", ""big"": ""ADJ"", ""grin"": ""NOUN"", ""closed-eyes"": ""NOUN"", ""smile"": ""NOUN"", ""laughing"": ""VERB"", ""xd"": ""NOUN""}"
5,😅,"[""Grinning Face with Sweat"", ""Exercise"", ""Happy Sweat""]","[""sweat"", ""face"", ""grinning"", ""happy"", ""with"", ""exercise""]","{""grinning"": ""VERB"", ""face"": ""NOUN"", ""with"": ""ADP"", ""sweat"": ""NOUN"", ""exercise"": ""NOUN"", ""happy"": ""ADJ""}"
6,🤣,"[""Rolling on the Floor Laughing"", ""ROFL""]","[""on"", ""the"", ""laughing"", ""rolling"", ""rofl"", ""floor""]","{""rolling"": ""VERB"", ""on"": ""ADP"", ""the"": ""DET"", ""floor"": ""NOUN"", ""laughing"": ""NOUN"", ""rofl"": ""NOUN""}"
7,😂,"[""Face with Tears of Joy"", ""Laughing"", ""Laughing Crying"", ""Laughing Tears"", ""LOL""]","[""tears"", ""joy"", ""crying"", ""face"", ""lol"", ""of"", ""with"", ""laughing""]","{""face"": ""NOUN"", ""with"": ""ADP"", ""tears"": ""NOUN"", ""of"": ""ADP"", ""joy"": ""NOUN"", ""laughing"": ""VERB"", ""crying"": ""VERB"", ""lol"": ""NOUN""}"
8,🙂,"[""Slightly Smiling Face"", ""Slightly Happy"", ""This Is Fine""]","[""is"", ""this"", ""face"", ""smiling"", ""slightly"", ""happy"", ""fine""]","{""slightly"": ""ADV"", ""smiling"": ""VERB"", ""face"": ""NOUN"", ""happy"": ""ADJ"", ""this"": ""DET"", ""is"": ""VERB"", ""fine"": ""ADJ""}"
9,🙃,"[""Upside-Down Face"", ""Sarcasm"", ""Silly""]","[""silly"", ""face"", ""sarcasm"", ""upside-down""]","{""upside-down"": ""ADJ"", ""face"": ""NOUN"", ""sarcasm"": ""NOUN"", ""silly"": ""ADV""}"
10,😉,"[""Winking Face"", ""Wink"", ""Wink Face"", ""Winky Face""]","[""wink"", ""face"", ""winky"", ""winking""]","{""winking"": ""VERB"", ""face"": ""NOUN"", ""wink"": ""NOUN"", ""winky"": ""NOUN""}"
11,😊,"[""Smiling Face with Smiling Eyes"", ""^^"", ""Happy Face"", ""Smile"", ""Smiley Face""]","[""^^"", ""smiling"", ""happy"", ""smiley"", ""face"", ""with"", ""smile"", ""eyes""]","{""smiling"": ""VERB"", ""face"": ""NOUN"", ""with"": ""ADP"", ""eyes"": ""NOUN"", ""^^"": ""NOUN"", ""happy"": ""ADJ"", ""smile"": ""NOUN"", ""smiley"": ""NOUN""}"
12,😇,"[""Smiling Face with Halo"", ""Angel"", ""Halo""]","[""halo"", ""face"", ""smiling"", ""angel"", ""with""]","{""smiling"": ""VERB"", ""face"": ""NOUN"", ""with"": ""ADP"", ""halo"": ""NOUN"", ""angel"": ""NOUN""}"
13,🥰,"[""Smiling Face with Hearts"", ""In Love Face""]","[""face"", ""smiling"", ""hearts"", ""love"", ""in"", ""with""]","{""smiling"": ""VERB"", ""face"": ""NOUN"", ""with"": ""ADP"", ""hearts"": ""NOUN"", ""in"": ""ADP"", ""love"": ""NOUN""}"
14,😍,"[""Smiling Face with Heart-Eyes"", ""Heart Eyes"", ""Heart Face""]","[""face"", ""smiling"", ""heart"", ""heart-eyes"", ""with"", ""eyes""]","{""smiling"": ""VERB"", ""face"": ""NOUN"", ""with"": ""ADP"", ""heart-eyes"": ""NOUN"", ""heart"": ""NOUN"", ""eyes"": ""NOUN""}"
15,🤩,"[""Star-Struck"", ""Excited"", ""Star Eyes"", ""Starry Eyed"", ""Wow Face""]","[""starry"", ""eyed"", ""face"", ""star-struck"", ""star"", ""excited"", ""wow"", ""eyes""]","{""star-struck"": ""ADJ"", ""excited"": ""ADJ"", ""star"": ""NOUN"", ""eyes"": ""NOUN"", ""starry"": ""NOUN"", ""eyed"": ""NOUN"", ""wow"": ""NOUN"", ""face"": ""NOUN""}"
16,😘,"[""Face Blowing a Kiss"", ""Blow A Kiss"", ""Blowing Kiss"", ""Kissing""]","[""face"", ""blowing"", ""blow"", ""kissing"", ""a"", ""kiss""]","{""face"": ""NOUN"", ""blowing"": ""VERB"", ""a"": ""DET"", ""kiss"": ""NOUN"", ""blow"": ""ADP"", ""kissing"": ""VERB""}"
17,😗,"[""Kissing Face"", "":-*"", ""Duck Face"", ""Kissy Face"", ""Whistling""]","[""kissy"", ""face"", "":"", ""duck"", ""whistling"", ""kissing"", ""-"", ""*""]","{""kissing"": ""VERB"", ""face"": ""NOUN"", "":"": ""."", ""-"": ""."", ""*"": ""NOUN"", ""duck"": ""NOUN"", ""kissy"": ""NOUN"", ""whistling"": ""VERB""}"
18,☺️,"[""Smiling Face"", ""Happy Face"", ""Smiley Face"", ""Smiling""]","[""smiley"", ""face"", ""smiling"", ""happy""]","{""smiling"": ""VERB"", ""face"": ""NOUN"", ""happy"": ""ADJ"", ""smiley"": ""NOUN""}"
19,☺,"[""Smiling Face"", ""Happy Face"", ""Smiley Face"", ""Smiling""]","[""smiley"", ""face"", ""smiling"", ""happy""]","{""smiling"": ""VERB"", ""face"": ""NOUN"", ""happy"": ""ADJ"", ""smiley"": ""NOUN""}"
20,😚,"[""Kissing Face with Closed Eyes"", ""Kiss Face"", ""Kissy Face""]","[""kissy"", ""face"", ""kiss"", ""closed"", ""with"", ""eyes"", ""kissing""]","{""kissing"": ""VERB"", ""face"": ""NOUN"", ""with"": ""ADP"", ""closed"": ""ADJ"", ""eyes"": ""NOUN"", ""kiss"": ""NOUN"", ""kissy"": ""NOUN""}"
21,😙,"[""Kissing Face with Smiling Eyes"", ""Kiss Face"", ""Kissy"", ""Whistle"", ""Whistling""]","[""kissy"", ""smiling"", ""whistling"", ""kiss"", ""face"", ""whistle"", ""kissing"", ""with"", ""eyes""]","{""kissing"": ""VERB"", ""face"": ""NOUN"", ""with"": ""ADP"", ""smiling"": ""VERB"", ""eyes"": ""NOUN"", ""kiss"": ""NOUN"", ""kissy"": ""NOUN"", ""whistle"": ""VERB"", ""whistling"": ""VERB""}"
22,🥲,"[""Smiling Face with Tear""]","[""tear"", ""face"", ""smiling"", ""with""]","{""smiling"": ""VERB"", ""face"": ""NOUN"", ""with"": ""ADP"", ""tear"": ""NOUN""}"
23,😋,"[""Face Savoring Food"", ""Goofy"", ""Hungry""]","[""face"", ""goofy"", ""food"", ""savoring"", ""hungry""]","{""face"": ""NOUN"", ""savoring"": ""VERB"", ""food"": ""NOUN"", ""goofy"": ""NOUN"", ""hungry"": ""ADJ""}"
24,😛,"[""Face with Tongue"", ""Cheeky"", ""Tongue Face"", ""Tongue-Out""]","[""face"", ""tongue"", ""tongue-out"", ""cheeky"", ""with""]","{""face"": ""NOUN"", ""with"": ""ADP"", ""tongue"": ""NOUN"", ""cheeky"": ""NOUN"", ""tongue-out"": ""NOUN""}"
25,😜,"[""Winking Face with Tongue"", ""Crazy"", ""Crazy Face""]","[""face"", ""tongue"", ""winking"", ""with"", ""crazy""]","{""winking"": ""VERB"", ""face"": ""NOUN"", ""with"": ""ADP"", ""tongue"": ""NOUN"", ""crazy"": ""ADJ""}"
