,emoji,meanings_en,meanings_ru
0,😀,"[""grinning face"", ""happy face"", ""smiley face""]","[""шлифованное лицо"", ""счастливое лицо"", ""улыбчивое лицо""]"
1,😃,"[""grinning big eyes"", ""grinning face"", ""happy"", ""happy face"", ""smiley face""]","[""шлифование больших глаз"", ""шлифованное лицо"", ""счастливый"", ""счастливое лицо"", ""улыбчивое лицо""]"
2,😄,"[""grinning smiling eyes"", ""grinning face"", ""happy face"", ""smiley face""]","[""шлифование улыбки глаз"", ""шлифованное лицо"", ""счастливое лицо"", ""улыбчивое лицо""]"
3,😁,"[""beaming smiling eyes""]","[""лучать улыбающиеся глаза""]"
4,😆,"[""grinning squinting face"", ""><"", ""big grin"", ""closed-eyes smile"", ""laughing"", ""xd""]","[""гриннинг пайтинг лицо"", ""> <"", ""большой грин"", ""закрытая улыбка"", ""смеяться"", ""хд""]"
5,😅,"[""grinning sweat"", ""exercise"", ""happy sweat""]","[""grinning пот"", ""упражнения"", ""счастливый пот""]"
6,🤣,"[""rolling on the floor laughing"", ""rofl""]","[""катание на полу смеясь"", ""Рофл""]"
7,😂,"[""tears of joy"", ""laughing"", ""laughing crying"", ""laughing tears"", ""lol""]","[""слезы радости"", ""смеяться"", ""смеяться плакать"", ""смеяться над слезами"", ""Лол""]"
8,🙂,"[""slightly smiling face"", ""slightly happy"", ""this is fine""]","[""немного улыбается лицо"", ""немного счастливый"", ""это нормально""]"
9,🙃,"[""upside-down face"", ""sarcasm"", ""silly""]","[""вверх сторона"", ""сарказм"", ""силли""]"
10,😉,"[""winking face"", ""wink"", ""wink face"", ""winky face""]","[""победить лицо"", ""победа"", ""wink лицо"", ""winky лицо""]"
11,😊,"[""smiling smiling eyes"", ""^^"", ""happy face"", ""smile"", ""smiley face""]","[""улыбающиеся глаза"", ""^^"", ""счастливое лицо"", ""улыбка"", ""улыбчивое лицо""]"
12,😇,"[""smiling halo"", ""angel"", ""halo""]","[""улыбающийся хало"", ""ангел"", ""гало""]"
13,🥰,"[""smiling hearts"", ""in love face""]","[""улыбающиеся сердца"", ""в любовном лице""]"
14,😍,"[""smiling heart-eyes"", ""heart eyes"", ""heart face""]","[""улыбающиеся сердца"", ""глаза сердца"", ""сердце лицо""]"
15,🤩,"[""star-struck"", ""excited"", ""star eyes"", ""starry eyed"", ""wow face""]","[""звезда-струк"", ""взволнованы"", ""звездные глаза"", ""Звезда глаза"", ""wow лицо""]"
16,😘,"[""face blowing a kiss"", ""blow a kiss"", ""blowing kiss"", ""kissing""]","[""лицо дует поцелуй"", ""удар поцелую"", ""дует поцелуй"", ""поцелуи""]"
17,😗,"[""kissing face"", "":-*"", ""duck face"", ""kissy face"", ""whistling""]","[""поцелуй лицо"", "":-*"", ""утка лицо"", ""поцелуй лицо"", ""свисание""]"
