,emoji,meanings_ru,synsets,synsets_names
0,😀,"['шлифованное лицо', 'счастливое лицо', 'улыбчивое лицо']","[""106579-N"", ""138167-N"", ""2149-N"", ""106579-N"", ""138167-N"", ""2149-N"", ""106579-N"", ""138167-N"", ""2149-N""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
1,😃,"['шлифование больших глаз', 'шлифованное лицо', 'счастливый', 'счастливое лицо', 'улыбчивое лицо']","[""5429-N"", ""3037-N"", ""106917-N"", ""10117-N"", ""106579-N"", ""138167-N"", ""2149-N"", ""119891-A"", ""119082-A"", ""106579-N"", ""138167-N"", ""2149-N"", ""106579-N"", ""138167-N"", ""2149-N""]","[""АБРАЗИВНЫЕ РАБОТЫ"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""АБРАЗИВНЫЕ РАБОТЫ"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""АБРАЗИВНЫЕ РАБОТЫ"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""ГЛАЗ"", ""ОРГАНЫ ЧУВСТВ"", ""АБРАЗИВНЫЕ РАБОТЫ"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""ГЛАЗ"", ""ОРГАНЫ ЧУВСТВ"", ""АБРАЗИВНЫЕ РАБОТЫ"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""ГЛАЗ"", ""ОРГАНЫ ЧУВСТВ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""АБРАЗИВНЫЕ РАБОТЫ"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""ГЛАЗ"", ""ОРГАНЫ ЧУВСТВ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СЧАСТЛИВЫЙ (ПОЛНЫЙ СЧАСТЬЯ)"", ""РАДОСТНЫЙ (ПОЛНЫЙ РАДОСТИ)"", ""АБРАЗИВНЫЕ РАБОТЫ"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""ГЛАЗ"", ""ОРГАНЫ ЧУВСТВ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СЧАСТЛИВЫЙ (ПОЛНЫЙ СЧАСТЬЯ)"", ""РАДОСТНЫЙ (ПОЛНЫЙ РАДОСТИ)"", ""АБРАЗИВНЫЕ РАБОТЫ"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""ГЛАЗ"", ""ОРГАНЫ ЧУВСТВ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СЧАСТЛИВЫЙ (ПОЛНЫЙ СЧАСТЬЯ)"", ""РАДОСТНЫЙ (ПОЛНЫЙ РАДОСТИ)"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""АБРАЗИВНЫЕ РАБОТЫ"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""ГЛАЗ"", ""ОРГАНЫ ЧУВСТВ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СЧАСТЛИВЫЙ (ПОЛНЫЙ СЧАСТЬЯ)"", ""РАДОСТНЫЙ (ПОЛНЫЙ РАДОСТИ)"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""АБРАЗИВНЫЕ РАБОТЫ"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""ГЛАЗ"", ""ОРГАНЫ ЧУВСТВ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СЧАСТЛИВЫЙ (ПОЛНЫЙ СЧАСТЬЯ)"", ""РАДОСТНЫЙ (ПОЛНЫЙ РАДОСТИ)"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
2,😄,"['шлифование улыбки глаз', 'шлифованное лицо', 'счастливое лицо', 'улыбчивое лицо']","[""5429-N"", ""3037-N"", ""106917-N"", ""10117-N"", ""106579-N"", ""138167-N"", ""2149-N"", ""106579-N"", ""138167-N"", ""2149-N"", ""106579-N"", ""138167-N"", ""2149-N""]","[""АБРАЗИВНЫЕ РАБОТЫ"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""АБРАЗИВНЫЕ РАБОТЫ"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""АБРАЗИВНЫЕ РАБОТЫ"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""ГЛАЗ"", ""ОРГАНЫ ЧУВСТВ"", ""АБРАЗИВНЫЕ РАБОТЫ"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""ГЛАЗ"", ""ОРГАНЫ ЧУВСТВ"", ""АБРАЗИВНЫЕ РАБОТЫ"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""ГЛАЗ"", ""ОРГАНЫ ЧУВСТВ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""АБРАЗИВНЫЕ РАБОТЫ"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""ГЛАЗ"", ""ОРГАНЫ ЧУВСТВ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""АБРАЗИВНЫЕ РАБОТЫ"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""ГЛАЗ"", ""ОРГАНЫ ЧУВСТВ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""АБРАЗИВНЫЕ РАБОТЫ"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""ГЛАЗ"", ""ОРГАНЫ ЧУВСТВ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""АБРАЗИВНЫЕ РАБОТЫ"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""ГЛАЗ"", ""ОРГАНЫ ЧУВСТВ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
3,😁,['лучать улыбающиеся глаза'],[],[]
4,😆,"['гриннинг пайтинг лицо', '> <', 'большой грин', 'закрытая улыбка', 'смеяться', 'хд']","[""106579-N"", ""138167-N"", ""2149-N"", ""106768-A"", ""114019-A"", ""112037-N"", ""112039-N"", ""126984-N"", ""107094-V"", ""115256-V""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""БОЛЬШОЙ, ЗНАЧИТЕЛЬНЫЙ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""БОЛЬШОЙ, ЗНАЧИТЕЛЬНЫЙ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""БОЛЬШОЙ, ЗНАЧИТЕЛЬНЫЙ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""БОЛЬШОЙ, ЗНАЧИТЕЛЬНЫЙ"", ""ВЫРАЖЕНИЕ ЛИЦА"", ""УЛЫБКА"", ""МИМИКА ЛИЦА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""БОЛЬШОЙ, ЗНАЧИТЕЛЬНЫЙ"", ""ВЫРАЖЕНИЕ ЛИЦА"", ""УЛЫБКА"", ""МИМИКА ЛИЦА"", ""ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ"", ""ШУТИТЬ, ОТПУСКАТЬ ШУТКИ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""БОЛЬШОЙ, ЗНАЧИТЕЛЬНЫЙ"", ""ВЫРАЖЕНИЕ ЛИЦА"", ""УЛЫБКА"", ""МИМИКА ЛИЦА"", ""ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ"", ""ШУТИТЬ, ОТПУСКАТЬ ШУТКИ""]"
5,😅,"['grinning пот', 'упражнения', 'счастливый пот']","[""110872-N"", ""110869-N"", ""119891-A"", ""119082-A"", ""110872-N"", ""110869-N""]","[""ПОТ (ВЫДЕЛЕНИЕ)"", ""ВЫДЕЛЕНИЯ ИЗ ОРГАНИЗМА"", ""ПОТ (ВЫДЕЛЕНИЕ)"", ""ВЫДЕЛЕНИЯ ИЗ ОРГАНИЗМА"", ""ПОТ (ВЫДЕЛЕНИЕ)"", ""ВЫДЕЛЕНИЯ ИЗ ОРГАНИЗМА"", ""СЧАСТЛИВЫЙ (ПОЛНЫЙ СЧАСТЬЯ)"", ""РАДОСТНЫЙ (ПОЛНЫЙ РАДОСТИ)"", ""ПОТ (ВЫДЕЛЕНИЕ)"", ""ВЫДЕЛЕНИЯ ИЗ ОРГАНИЗМА"", ""СЧАСТЛИВЫЙ (ПОЛНЫЙ СЧАСТЬЯ)"", ""РАДОСТНЫЙ (ПОЛНЫЙ РАДОСТИ)"", ""ПОТ (ВЫДЕЛЕНИЕ)"", ""ВЫДЕЛЕНИЯ ИЗ ОРГАНИЗМА""]"
6,🤣,"['катание на полу смеясь', 'Рофл']","[""133982-N"", ""106587-N"", ""126589-N""]","[""КАТАТЬСЯ (ДВИЖЕНИЕ)"", ""ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ"", ""РАЗВЛЕЧЬСЯ, ПРОВЕСТИ ПРИЯТНО ВРЕМЯ"", ""КАТАТЬСЯ (ДВИЖЕНИЕ)"", ""ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ"", ""РАЗВЛЕЧЬСЯ, ПРОВЕСТИ ПРИЯТНО ВРЕМЯ"", ""КАТАТЬСЯ (ДВИЖЕНИЕ)"", ""ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ"", ""РАЗВЛЕЧЬСЯ, ПРОВЕСТИ ПРИЯТНО ВРЕМЯ"", ""КАТАТЬСЯ (ДВИЖЕНИЕ)"", ""ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ"", ""РАЗВЛЕЧЬСЯ, ПРОВЕСТИ ПРИЯТНО ВРЕМЯ"", ""КАТАТЬСЯ (ДВИЖЕНИЕ)"", ""ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ"", ""РАЗВЛЕЧЬСЯ, ПРОВЕСТИ ПРИЯТНО ВРЕМЯ""]"
7,😂,"['слезы радости', 'смеяться', 'смеяться плакать', 'смеяться над слезами', 'Лол']","[""107094-V"", ""115256-V"", ""107094-V"", ""115256-V"", ""110719-V"", ""107196-V"", ""120904-V"", ""107094-V"", ""115256-V""]","[""ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ"", ""ШУТИТЬ, ОТПУСКАТЬ ШУТКИ"", ""ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ"", ""ШУТИТЬ, ОТПУСКАТЬ ШУТКИ"", ""ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ"", ""ШУТИТЬ, ОТПУСКАТЬ ШУТКИ"", ""ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ"", ""ШУТИТЬ, ОТПУСКАТЬ ШУТКИ"", ""ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ"", ""ШУТИТЬ, ОТПУСКАТЬ ШУТКИ"", ""ЛИТЬ ЖИДКОСТЬ"", ""ПЛАКАТЬ, ПРОЛИВАТЬ СЛЕЗЫ"", ""ВЫСТУПИТЬ НАРУЖУ"", ""ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ"", ""ШУТИТЬ, ОТПУСКАТЬ ШУТКИ"", ""ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ"", ""ШУТИТЬ, ОТПУСКАТЬ ШУТКИ"", ""ЛИТЬ ЖИДКОСТЬ"", ""ПЛАКАТЬ, ПРОЛИВАТЬ СЛЕЗЫ"", ""ВЫСТУПИТЬ НАРУЖУ"", ""ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ"", ""ШУТИТЬ, ОТПУСКАТЬ ШУТКИ"", ""ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ"", ""ШУТИТЬ, ОТПУСКАТЬ ШУТКИ"", ""ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ"", ""ШУТИТЬ, ОТПУСКАТЬ ШУТКИ"", ""ЛИТЬ ЖИДКОСТЬ"", ""ПЛАКАТЬ, ПРОЛИВАТЬ СЛЕЗЫ"", ""ВЫСТУПИТЬ НАРУЖУ"", ""ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ"", ""ШУТИТЬ, ОТПУСКАТЬ ШУТКИ"", ""ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ"", ""ШУТИТЬ, ОТПУСКАТЬ ШУТКИ"", ""ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ"", ""ШУТИТЬ, ОТПУСКАТЬ ШУТКИ"", ""ЛИТЬ ЖИДКОСТЬ"", ""ПЛАКАТЬ, ПРОЛИВАТЬ СЛЕЗЫ"", ""ВЫСТУПИТЬ НАРУЖУ"", ""ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ"", ""ШУТИТЬ, ОТПУСКАТЬ ШУТКИ"", ""ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ"", ""ШУТИТЬ, ОТПУСКАТЬ ШУТКИ"", ""ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ"", ""ШУТИТЬ, ОТПУСКАТЬ ШУТКИ"", ""ЛИТЬ ЖИДКОСТЬ"", ""ПЛАКАТЬ, ПРОЛИВАТЬ СЛЕЗЫ"", ""ВЫСТУПИТЬ НАРУЖУ"", ""ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ"", ""ШУТИТЬ, ОТПУСКАТЬ ШУТКИ""]"
8,🙂,"['немного улыбается лицо', 'немного счастливый', 'это нормально']","[""106579-N"", ""138167-N"", ""2149-N"", ""119891-A"", ""119082-A""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СЧАСТЛИВЫЙ (ПОЛНЫЙ СЧАСТЬЯ)"", ""РАДОСТНЫЙ (ПОЛНЫЙ РАДОСТИ)"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СЧАСТЛИВЫЙ (ПОЛНЫЙ СЧАСТЬЯ)"", ""РАДОСТНЫЙ (ПОЛНЫЙ РАДОСТИ)"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СЧАСТЛИВЫЙ (ПОЛНЫЙ СЧАСТЬЯ)"", ""РАДОСТНЫЙ (ПОЛНЫЙ РАДОСТИ)""]"
9,🙃,"['вверх сторона', 'сарказм', 'силли']","[""135736-N"", ""106857-N"", ""118787-N"", ""118788-N"", ""118789-N""]","[""СТОРОНА (ГРУППА ЛИЦ)"", ""УЧАСТНИК"", ""СТОРОНА (ГРУППА ЛИЦ)"", ""УЧАСТНИК"", ""ИРОНИЧНЫЙ"", ""САРКАСТИЧЕСКИЙ"", ""ЯЗВИТЕЛЬНЫЙ"", ""СТОРОНА (ГРУППА ЛИЦ)"", ""УЧАСТНИК"", ""ИРОНИЧНЫЙ"", ""САРКАСТИЧЕСКИЙ"", ""ЯЗВИТЕЛЬНЫЙ""]"
